Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Customer_Name,Email,City,Product_Name,Category,Price
10001,4345,1550,2023-05-24,5.0,Brett Freeman,jonesgabriella@hotmail.com,New Rebeccaville,Doctor,Books,420.59
10002,9168,4072,2024-12-22,3.0,Gabriel Sims,wburke@yahoo.com,Woodland,Book,Books,253.92
10003,1989,6719,2023-06-14,3.0,Heather Brown,johnsonandrew@warren.org,Fullershire,Board,Toys,469.8
10004,417,8295,2023-05-20,5.5,Jason Church,jeffreynguyen@yahoo.com,South Jennifer,Serious,Furniture,189.99
10005,1593,5644,2025-02-20,5.0,Paul Watkins,lisacarroll@yahoo.com,North Mary,Officer,Electronics,280.37
10006,7925,2328,2024-09-03,6.0,Dr. Joshua Contreras Md,reyeswilliam@simmons-powers.com,Barrborough,Measure,Electronics,388.61
10007,5381,3940,2024-08-02,4.0,Randy Russell Phd,alexander91@blake-patterson.com,North Andrewburgh,Difficult,Furniture,182.42
10008,5669,3463,2025-01-02,5.0,Sara Young,joneskathleen@richards-tucker.info,Mccoystad,Add,Books,278.78
10009,9868,2419,2023-07-16,3.0,,,,Market,Books,177.07
10010,6879,7595,2025-01-14,1.0,Tracy Jackson,daveyoung@duke.com,Nicoleside,Probably,Toys,44.88
10011,7718,7793,2024-10-12,10.0,Michael Walsh,ymckinney@collins-white.org,Millermouth,Quite,Toys,486.28
10012,6743,2269,2023-12-31,3.0,Joseph Acosta,sfranklin@hotmail.com,Daymouth,Recognize,Toys,97.76
10013,5947,5734,2023-06-12,6.0,Destiny Gamble,wsanford@hall.info,North Kristahaven,By,Furniture,122.04
10014,4761,3050,2023-10-30,5.5,Kenneth Gibbs,garrisonrhonda@spears.com,Lynnstad,Red,Toys,480.55
10015,2734,2392,2024-11-10,4.0,Elizabeth Arellano,rosejohnson@gmail.com,New Rebekah,Relate,Books,237.31
10016,947,2331,2023-11-28,4.0,Ivan Craig,dean10@short-miller.info,West Stevenview,Why,Books,168.3
10017,3402,2731,2024-07-28,6.0,John Reed,fsanford@yahoo.com,Johnsonton,American,Furniture,334.05
10018,5459,3026,2023-05-14,7.0,Rachel Rich,evanswanda@hotmail.com,Cookton,Price,Toys,285.82
10019,856,9100,2023-08-23,1.0,Nicole Craig,wendylawson@gmail.com,Port Joanntown,Answer,Furniture,457.47
10020,509,5829,2023-09-05,4.0,Stephen Moody,boothkatherine@yahoo.com,Alexchester,Sense,Furniture,275.81
10021,6324,5483,2023-05-05,9.0,Catherine Moss,riosjames@snow.info,Browntown,Air,Electronics,131.64
10022,7561,5202,2023-06-13,5.0,Jacqueline Smith,falvarado@gmail.com,New Melissa,Floor,Electronics,484.76
10023,5229,6028,2024-01-29,9.0,Michelle Thompson,stonemaurice@yahoo.com,Wheelerhaven,Three,Electronics,361.53
10024,5096,2388,2023-07-30,2.0,Sarah Allen,aaronberry@yahoo.com,Wendystad,Whether,Toys,128.71
10025,4190,8850,2024-05-14,3.0,Kelly Bowen,jorgegarcia@gmail.com,West Michelle,Teacher,Books,408.86
10026,3936,5120,2023-06-02,10.0,Richard Newman,hendersonnancy@rodriguez-johnson.biz,Suttonbury,Certain,Furniture,292.76
10027,3163,8348,2023-12-28,6.0,Jamie Barajas,hayeskimberly@yahoo.com,Garciahaven,Sister,Furniture,409.91
10028,5418,9482,2025-01-27,5.0,Brett Gray,watkinsmark@walker-wiley.com,Port Nathaniel,Teacher,Toys,110.62
10029,3291,6716,2024-05-09,7.0,Dylan Rodriguez,steven12@hotmail.com,Tateton,These,Furniture,478.96
10030,6978,4103,2023-06-15,10.0,Mary Hudson,pallen@snyder-tate.com,Port Kennethtown,Teach,Furniture,343.39
10031,1934,4642,2024-08-27,7.0,Robert Burton,robinsonwayne@jimenez.org,South Christopherborough,Along,Books,455.69
10032,900,674,2024-01-28,10.0,Dustin Ray,oknight@aguirre.org,Lawsonton,Effort,Electronics,467.24
10033,6918,2851,2023-04-16,2.0,Michael Sanchez,thompsonkenneth@greer.net,East Paulville,Tv,Electronics,311.33
10034,3180,3889,2025-01-17,4.0,Donna Jones,anthony32@harris.net,Kanehaven,Instead,Furniture,115.71
10035,4875,9266,2024-04-28,8.0,Susan Williams,mary81@gmail.com,Ambertown,Above,Toys,437.05
10036,4885,4540,2023-10-08,6.0,Jesus Carter,bfrederick@yahoo.com,New Jennifer,General,Electronics,143.58
10037,6293,273,2023-05-19,10.0,Julie Johnson,josephrice@hotmail.com,South Luketown,Many,Toys,66.18
