Customer_ID,Customer_Name,Email,City
1,jordan hopkins,Steven94@Hotmail.Com,Stephenbury
2,kimberly ho,  neilschmidt@gmail.com  ,  Thompsonburgh  
3,Anna Camacho,williamdoyle@romero.info,  Lake Joelton  
4,James Atkinson,  carmen49@yahoo.com  ,  Murphyport  
5,gabrielle banks,  ojackson@hotmail.com  ,east steve
6,ROBIN CARLSON,Daniel93@smith.org,Taylorchester
7,KENNETH GOMEZ,Leah28@hotmail.com,georgeview
8,  Sara Gray  ,Brittany97@Marks.Com,west angela
9,  Kristen Elliott  ,Hernandezspencer@lowe.com,Nicolebury
10,  Bridget Graham  ,,East Lindsaychester
11,  Anthony Evans  ,jessicaflores@gmail.com,east brookeville
12,  Paige Turner  ,pamela23@gmail.com,lake gary
13,ALEXIS WEST,LISA28@GMAIL.COM,Port Kimberlyshire
14,Robert gay,richard83@gmail.com,  New Donaldburgh  
15,phillip durham,NICHOLASLEE@POWELL.BIZ,coreymouth
16,HARRY GLENN,Qburton@yahoo.com,KRISTINVILLE
17,steven gay,  yfrost@hunt-cooke.net  ,Taylorburgh
18,Kerry Ortiz,kyleolson@gmail.com,  Lake Michael  
19,Shelby cole,  juliamoore@hotmail.com  ,
20,Brianna hudson,Rmeyer@riley.com,GONZALEZBURY
21,DONNA PRATT,SYLVIABONILLA@GMAIL.COM,West markstad
22,andre torres,  fergusoneric@hotmail.com  ,  West Michael  
23,james brown,Jenningscaroline@oconnor.net,LAKE JOHNHAVEN
24,Candice davidson,Robertnunez@Bowen.Biz,markton
25,Darren morgan,Martineztracy@yahoo.com,
26,AMANDA BROWN,ewilcox@hinton.com,Lake Stephen
27,brad harris,Qcoleman@Obrien-Robinson.Com,West Loriburgh
28,MELISSA KIM,barrharold@hotmail.com,LAKE AMBERHAVEN
29,  Samuel Larson  ,APRILWALKER@GEORGE.NET,LAKE MARKBERG
30,Beverly Fernandez,Barrtina@Mitchell.Biz,stephensshire
31,michael houston,jillmiller@reed.com,DOUGLASMOUTH
32,Jessica Miller,JAMES51@YAHOO.COM,  Hollandland  
33,Elizabeth Ingram,  coloncurtis@padilla-evans.com  ,Cookmouth
34,  Holly Jensen  ,Anthonyrobinson@Yahoo.Com,Jeffreytown
35,thomas williams,villalaurie@yahoo.com,west charles
36,Dana brown,  deborah81@taylor.org  ,New sarahview
37,Courtney Russell,,JOSHUACHESTER
38,Curtis lang jr.,  andrew44@ruiz-delgado.biz  ,South davidchester
